card_id,snapshot_date,balance,payment_made,late_payment
1,2023-02-28,18671.17,18211.06,False
1,2023-03-31,20903.48,12082.41,False
1,2023-04-30,15519.14,14480.72,False
1,2023-05-31,21993.29,11223.01,False
1,2023-06-30,23232.06,14082.57,False
1,2023-07-31,16767.38,10934.36,False
1,2023-08-31,19242.95,12423.53,False
1,2023-09-30,16330.01,10550.37,False
1,2023-10-31,19483.24,17390.51,False
1,2023-11-30,20062.58,15973.97,True
1,2023-12-31,20991.99,12285.82,False
1,2024-01-31,24391.88,23972.73,False
1,2024-02-29,17974.67,9865.15,False
1,2024-03-31,19324.69,10841.52,False
1,2024-04-30,15283.12,14590.19,False
1,2024-05-31,21539.59,14126.86,False
1,2024-06-30,20386.05,12077.25,False
1,2024-07-31,22661.23,21975.72,False
1,2024-08-31,20895.92,20079.67,False
1,2024-09-30,16892.67,8828.34,False
1,2024-10-31,18811.98,11958.3,False
1,2024-11-30,18494.01,11844.81,False
1,2024-12-31,16344.26,14727.79,False
1,2025-01-31,24770.39,21949.6,False
1,2025-02-28,14995.6,13611.97,False
1,2025-03-31,22201.8,19662.69,False
1,2025-04-30,18511.06,10327.96,False
1,2025-05-31,21148.9,14073.51,False
1,2025-06-30,18038.11,11951.9,False
2,2023-10-31,1513.02,1113.75,True
2,2023-11-30,1402.75,1234.97,False
2,2023-12-31,1439.34,1075.04,False
2,2024-01-31,1221.68,626.37,True
2,2024-02-29,970.62,794.17,False
2,2024-03-31,1273.03,1214.19,False
2,2024-04-30,1210.8,1062.81,False
2,2024-05-31,999.49,644.55,False
2,2024-06-30,1539.94,1392.2,False
2,2024-07-31,1503.03,1355.49,False
2,2024-08-31,1516.4,1167.13,False
2,2024-09-30,1518.64,1000.79,True
2,2024-10-31,1095.17,781.46,False
2,2024-11-30,1496.23,753.32,False
2,2024-12-31,1215.26,742.59,True
2,2025-01-31,1164.68,1131.43,False
2,2025-02-28,1279.51,1089.51,False
2,2025-03-31,1566.62,1537.2,False
2,2025-04-30,1265.86,823.36,False
2,2025-05-31,974.08,783.92,False
2,2025-06-30,983.33,628.67,False
3,2024-04-30,2937.77,1681.72,False
3,2024-05-31,4197.77,2606.93,False
3,2024-06-30,3819.42,2363.53,False
3,2024-07-31,3154.31,2574.4,False
3,2024-08-31,3438.02,1874.22,False
3,2024-09-30,3074.93,1824.23,True
3,2024-10-31,3531.1,2961.82,True
3,2024-11-30,3398.02,2083.83,False
3,2024-12-31,2827.67,2390.71,False
3,2025-01-31,4115.15,2340.53,False
3,2025-02-28,2724.83,2622.23,False
3,2025-03-31,2968.81,2464.09,False
3,2025-04-30,3470.82,2654.57,False
3,2025-05-31,2690.43,2552.16,False
3,2025-06-30,3602.38,2411.85,False
4,2023-06-30,2976.1,2822.99,False
4,2023-07-31,3048.19,2502.61,False
4,2023-08-31,2221.6,2108.91,False
4,2023-09-30,2017.8,1111.27,False
4,2023-10-31,2012.27,1167.93,False
4,2023-11-30,2930.56,2420.59,False
4,2023-12-31,2957.68,1829.69,False
4,2024-01-31,3003.56,2477.39,False
4,2024-02-29,2884.73,2262.07,False
4,2024-03-31,2497.14,1579.69,False
4,2024-04-30,3306.42,2303.08,False
4,2024-05-31,2849.33,2557.0,False
4,2024-06-30,2776.82,2072.23,False
4,2024-07-31,2971.42,1902.86,True
4,2024-08-31,2868.5,1688.27,False
4,2024-09-30,3280.9,3141.24,False
4,2024-10-31,2026.17,1953.55,False
4,2024-11-30,3297.92,3237.93,False
4,2024-12-31,2399.18,1661.55,False
4,2025-01-31,2429.22,1420.48,False
4,2025-02-28,3257.14,2762.1,False
4,2025-03-31,2135.42,1724.36,False
4,2025-04-30,2192.79,1664.69,False
4,2025-05-31,2995.91,2542.05,False
4,2025-06-30,2486.14,1608.03,False
5,2021-06-30,2123.26,2031.15,False
5,2021-07-31,1795.36,1614.29,False
5,2021-08-31,1975.16,1773.49,False
5,2021-09-30,1648.68,1133.95,True
5,2021-10-31,1864.22,965.61,False
5,2021-11-30,1832.25,1178.63,False
5,2021-12-31,1372.86,712.07,False
5,2022-01-31,1668.59,940.3,False
5,2022-02-28,2036.18,1237.82,False
5,2022-03-31,1422.06,747.78,False
5,2022-04-30,1830.45,1498.62,False
5,2022-05-31,2220.84,1683.73,False
5,2022-06-30,2058.78,1308.18,False
5,2022-07-31,1415.88,725.89,False
5,2022-08-31,2095.37,1776.85,False
5,2022-09-30,1500.95,867.88,False
5,2022-10-31,1838.16,1575.85,False
5,2022-11-30,1596.6,1560.57,False
5,2022-12-31,1842.76,1485.01,False
5,2023-01-31,1567.71,1062.89,False
5,2023-02-28,1358.41,758.04,True
5,2023-03-31,1382.03,1282.15,False
5,2023-04-30,1770.83,972.04,False
5,2023-05-31,1770.2,1038.4,False
5,2023-06-30,1702.96,1375.86,False
5,2023-07-31,1386.14,952.7,False
5,2023-08-31,1796.81,1667.88,False
5,2023-09-30,1491.65,798.46,False
5,2023-10-31,1369.28,1085.69,False
5,2023-11-30,1861.7,1292.18,False
5,2023-12-31,1756.55,1357.48,False
5,2024-01-31,1691.83,1659.0,False
5,2024-02-29,1521.12,813.31,True
5,2024-03-31,1361.84,745.23,False
5,2024-04-30,1409.36,929.46,False
5,2024-05-31,1366.37,1239.62,False
5,2024-06-30,1451.49,1231.4,False
5,2024-07-31,2132.59,1850.1,False
5,2024-08-31,1598.49,941.06,False
5,2024-09-30,2069.23,2059.41,False
5,2024-10-31,1679.2,1491.48,False
5,2024-11-30,2180.39,2026.03,False
5,2024-12-31,2019.03,1771.24,True
5,2025-01-31,2155.09,1621.98,False
5,2025-02-28,1632.58,1547.3,False
5,2025-03-31,1355.22,1291.11,True
5,2025-04-30,1631.92,1591.17,False
5,2025-05-31,1859.87,1517.5,False
5,2025-06-30,1608.51,1068.59,False
6,2023-06-30,1523.44,1363.19,True
6,2023-07-31,1325.89,701.1,False
6,2023-08-31,1290.73,1218.26,False
6,2023-09-30,1075.03,614.38,False
6,2023-10-31,1408.19,775.29,True
6,2023-11-30,1463.2,784.83,False
6,2023-12-31,1466.71,793.01,True
6,2024-01-31,1653.12,1135.92,False
6,2024-02-29,1537.55,1497.0,False
6,2024-03-31,1498.05,1030.85,True
6,2024-04-30,1513.85,1179.6,False
6,2024-05-31,1599.74,888.81,False
6,2024-06-30,1004.75,737.82,True
6,2024-07-31,1076.19,601.34,False
6,2024-08-31,1493.17,1182.12,False
6,2024-09-30,1246.41,801.26,False
6,2024-10-31,1145.85,1124.78,True
6,2024-11-30,1641.98,856.42,False
6,2024-12-31,1348.02,1343.28,True
6,2025-01-31,1365.4,1344.44,False
6,2025-02-28,1415.62,1200.27,False
6,2025-03-31,1414.4,1120.43,False
6,2025-04-30,1027.41,658.04,False
6,2025-05-31,1589.05,1156.56,False
6,2025-06-30,1181.6,701.94,False
7,2019-04-30,1375.21,741.06,False
